O2Mix_ID,Protocol_ID,Lot_ID,DateTime,FlowRate_sccm,Pressure_psi,O2_Purity_%,Temperature_C,Valve_Status,Status,Operator_ID,Machine_ID,Remarks
O2M00001,PRT002,LOT102,8/25/25 8:00,124,35.3,99.4,25,Open,Success,OP102,GMC02,Leak detected
O2M00002,PRT003,LOT102,8/25/25 8:05,140,35.6,98.9,25.2,Open,Success,OP102,GMC02,Flow error
O2M00003,PRT001,LOT100,8/25/25 8:10,122,35,98.8,25.1,Open,Success,OP103,GMC01,Check supply
O2M00004,PRT001,LOT100,8/25/25 8:15,109,36.2,99.6,24.9,Open,Success,OP101,GMC02,Stable
O2M00005,PRT002,LOT102,8/25/25 8:20,125,34.6,98.7,24.8,Open,Success,OP101,GMC02,Check supply
O2M00006,PRT002,LOT102,8/25/25 8:25,124,34.2,99.4,23.1,Closed,Success,OP102,GMC03,Stable
O2M00007,PRT003,LOT101,8/25/25 8:30,138,35,98,25.2,Open,Success,OP102,GMC01,Leak detected
O2M00008,PRT001,LOT100,8/25/25 8:35,116,36.3,99.4,23.2,Open,Fail,OP103,GMC02,Leak detected
O2M00009,PRT002,LOT102,8/25/25 8:40,136,34.5,100,26.3,Closed,Success,OP101,GMC01,Leak detected
O2M00010,PRT001,LOT102,8/25/25 8:45,129,35.3,100,24,Closed,Success,OP101,GMC02,Flow error
O2M00011,PRT003,LOT100,8/25/25 8:50,106,36.3,99.7,26.9,Open,Success,OP101,GMC01,Stable
O2M00012,PRT002,LOT101,8/25/25 8:55,101,35.1,98.3,25.2,Closed,Success,OP103,GMC01,Leak detected
O2M00013,PRT003,LOT101,8/25/25 9:00,118,35,99,26,Open,Success,OP103,GMC03,Check supply
O2M00014,PRT002,LOT102,8/25/25 9:05,111,35.7,99.7,24.6,Open,Success,OP102,GMC03,Leak detected
O2M00015,PRT003,LOT100,8/25/25 9:10,105,35.5,99.1,25.5,Open,Success,OP102,GMC01,Flow error
O2M00016,PRT001,LOT101,8/25/25 9:15,143,35.5,99.8,25.6,Open,Success,OP101,GMC02,Leak detected
