Cure_ID,Protocol_ID,Lot_ID,Lens_ID,Cavity_ID,DateTime,Precure_Duration_min,RTD1_Temp_C,RTD2_Temp_C,PID_Heater_Setpoint_C,PID_Heater_Actual_C,Pressure_psi,Humidity,Status,Operator_ID,Machine_ID,Defect_Type,Remarks
CURE00001,PRT004,LOT111,LENS0413,CAV01,8/1/25 8:05,10,119,120.79,120,121.32,42.52,47.42,Success,OP110,MC03,None,Stable cycle
CURE00002,PRT009,LOT107,LENS0191,CAV16,8/1/25 8:10,11,121.99,121.57,119,117.5,41.5,52.88,Fail,OP109,MC04,Scratch,Rework needed
CURE00003,PRT008,LOT107,LENS0342,CAV15,8/1/25 8:15,12,118.22,120.33,121,121.44,40.64,54.2,Fail,OP102,MC04,Bubble,Rework needed
CURE00004,PRT002,LOT113,LENS0409,CAV13,8/1/25 8:20,11,115.35,116.12,119,120.69,40.1,48.69,Fail,OP103,MC01,Bubble,Rework needed
CURE00005,PRT003,LOT102,LENS0188,CAV04,8/1/25 8:25,14,116.25,124.17,122,122.19,40.19,44.77,Success,OP103,MC04,None,Stable cycle
CURE00006,PRT002,LOT110,LENS0097,CAV06,8/1/25 8:30,12,121.95,115.49,121,121.79,43.96,54.91,Success,OP103,MC04,None,Stable cycle
CURE00007,PRT004,LOT114,LENS0383,CAV18,8/1/25 8:35,12,118.8,116.18,120,120.4,38.88,40.12,Success,OP106,MC05,None,Stable cycle
CURE00008,PRT009,LOT110,LENS0435,CAV19,8/1/25 8:40,20,123.43,115.5,118,120.03,44.49,54,Success,OP109,MC03,None,Stable cycle
CURE00009,PRT003,LOT114,LENS0018,CAV10,8/1/25 8:45,16,120.54,116.68,122,122.61,42.61,46.62,Success,OP104,MC03,None,Stable cycle
CURE00010,PRT003,LOT120,LENS0200,CAV10,8/1/25 8:50,10,116.74,116.21,120,120.97,44.94,47.85,Success,OP108,MC03,None,Stable cycle
CURE00011,PRT005,LOT104,LENS0378,CAV18,8/1/25 8:55,14,119.97,121.98,120,121.89,41.71,52.73,Fail,OP103,MC03,Scratch,Rework needed
CURE00012,PRT004,LOT114,LENS0048,CAV17,8/1/25 9:00,19,118.53,123.53,121,118.8,39.01,43.63,Fail,OP102,MC05,Bubble,Rework needed
CURE00013,PRT004,LOT101,LENS0174,CAV08,8/1/25 9:05,12,116.19,121.9,120,117.73,38.44,45.96,Rework,OP104,MC04,Bubble,Rework needed
CURE00014,PRT009,LOT118,LENS0271,CAV13,8/1/25 9:10,17,116.78,120.2,121,121.55,39.89,42.72,Fail,OP110,MC03,Misalignment,Rework needed
CURE00015,PRT006,LOT105,LENS0409,CAV17,8/1/25 9:15,18,116.73,118.84,119,117.78,42.52,54.62,Fail,OP107,MC01,Bubble,Rework needed
CURE00016,PRT005,LOT116,LENS0496,CAV01,8/1/25 9:20,11,119.06,119.2,119,117.2,40.15,43.9,Fail,OP101,MC05,Scratch,Rework needed
CURE00017,PRT010,LOT105,LENS0120,CAV08,8/1/25 9:25,13,115.09,117.41,121,120.86,41.86,50.03,Rework,OP103,MC05,Misalignment,Rework needed
CURE00018,PRT010,LOT107,LENS0343,CAV13,8/1/25 9:30,14,122.08,117.85,118,117.65,41,50.71,Rework,OP104,MC03,Bubble,Rework needed
CURE00019,PRT006,LOT100,LENS0254,CAV02,8/1/25 9:35,20,117.83,120.65,122,124.13,42.04,50.09,Fail,OP101,MC05,Misalignment,Rework needed
CURE00020,PRT005,LOT108,LENS0019,CAV09,8/1/25 9:40,13,123.38,121.84,118,119.69,42.9,52.31,Rework,OP107,MC05,Bubble,Rework needed
CURE00021,PRT005,LOT115,LENS0240,CAV09,8/1/25 9:45,11,119.92,122.91,118,120.8,42.7,42.39,Success,OP106,MC02,None,Stable cycle
CURE00022,PRT001,LOT106,LENS0165,CAV17,8/1/25 9:50,17,122.73,115.44,118,116.21,44.61,53.09,Success,OP101,MC01,None,Stable cycle
CURE00023,PRT002,LOT102,LENS0180,CAV10,8/1/25 9:55,19,124.51,124.86,118,116.8,42.89,49.32,Success,OP104,MC02,None,Stable cycle
CURE00024,PRT001,LOT108,LENS0225,CAV07,8/1/25 10:00,14,115.31,120.66,122,124.69,43.27,43.88,Fail,OP105,MC04,Bubble,Rework needed
CURE00025,PRT001,LOT118,LENS0158,CAV06,8/1/25 10:05,18,115.02,115.03,118,117.16,39.33,41.11,Fail,OP102,MC02,Bubble,Rework needed
CURE00026,PRT002,LOT116,LENS0097,CAV07,8/1/25 10:10,20,121.89,119.88,121,121.76,44.77,51.52,Success,OP103,MC05,None,Stable cycle
CURE00027,PRT010,LOT113,LENS0153,CAV19,8/1/25 10:15,17,124.11,119.67,122,124.05,39.93,46.8,Success,OP103,MC03,None,Stable cycle
CURE00028,PRT006,LOT101,LENS0237,CAV05,8/1/25 10:20,16,122.28,115.33,122,122.25,38.38,43.01,Success,OP109,MC05,None,Stable cycle
CURE00029,PRT004,LOT104,LENS0135,CAV06,8/1/25 10:25,20,117.18,116.61,120,121.77,44.61,43.89,Rework,OP108,MC02,Scratch,Rework needed
CURE00030,PRT005,LOT108,LENS0489,CAV04,8/1/25 10:30,14,119.95,116.16,119,120.15,41.58,54.71,Rework,OP104,MC04,Misalignment,Rework needed
CURE00031,PRT001,LOT106,LENS0361,CAV03,8/1/25 10:35,19,119.47,117.25,118,118.9,38,50.01,Rework,OP108,MC04,Scratch,Rework needed
CURE00032,PRT003,LOT115,LENS0442,CAV13,8/1/25 10:40,13,121.14,115.77,122,122.1,41.37,42.32,Success,OP104,MC03,None,Stable cycle
CURE00033,PRT005,LOT107,LENS0205,CAV05,8/1/25 10:45,11,124.49,115.62,118,116.58,43.17,44.92,Rework,OP101,MC01,Misalignment,Rework needed
CURE00034,PRT005,LOT104,LENS0084,CAV11,8/1/25 10:50,19,119.24,124.72,118,120.94,44.15,44.51,Rework,OP104,MC03,Bubble,Rework needed
CURE00035,PRT010,LOT111,LENS0469,CAV09,8/1/25 10:55,12,116.74,117.49,118,116.45,41.51,49.87,Success,OP104,MC03,None,Stable cycle
CURE00036,PRT002,LOT100,LENS0139,CAV17,8/1/25 11:00,20,121.87,117.65,118,117.65,40.48,54.23,Fail,OP109,MC02,Bubble,Rework needed
CURE00037,PRT007,LOT109,LENS0460,CAV13,8/1/25 11:05,14,118.66,115.28,121,121.66,44.52,51.8,Fail,OP103,MC05,Misalignment,Rework needed
CURE00038,PRT007,LOT109,LENS0186,CAV09,8/1/25 11:10,17,121.62,118.04,119,116.84,42.83,45.38,Success,OP102,MC05,None,Stable cycle
CURE00039,PRT009,LOT105,LENS0316,CAV04,8/1/25 11:15,13,119.98,121.37,121,119.74,44.4,52.3,Rework,OP105,MC02,Bubble,Rework needed
CURE00040,PRT010,LOT118,LENS0456,CAV11,8/1/25 11:20,20,120.4,115.07,118,117.2,43.47,54.2,Rework,OP107,MC03,Scratch,Rework needed
CURE00041,PRT006,LOT118,LENS0368,CAV05,8/1/25 11:25,18,122.52,123.24,118,115.59,38.84,43.47,Rework,OP101,MC05,Scratch,Rework needed
CURE00042,PRT004,LOT101,LENS0203,CAV05,8/1/25 11:30,16,123.93,120.35,119,116.82,41.14,49.98,Fail,OP110,MC01,Scratch,Rework needed
CURE00043,PRT006,LOT120,LENS0448,CAV08,8/1/25 11:35,11,116.24,121.2,121,119.76,43.02,50.23,Fail,OP102,MC05,Bubble,Rework needed
CURE00044,PRT006,LOT111,LENS0439,CAV10,8/1/25 11:40,13,118.14,122.34,119,120.95,39.62,46.54,Fail,OP101,MC01,Bubble,Rework needed
CURE00045,PRT010,LOT116,LENS0498,CAV19,8/1/25 11:45,10,119.18,115.03,122,124.1,44.69,50.47,Fail,OP101,MC03,Bubble,Rework needed
CURE00046,PRT010,LOT116,LENS0312,CAV01,8/1/25 11:50,18,124.36,115.48,120,117.74,42.18,44,Fail,OP105,MC05,Misalignment,Rework needed
CURE00047,PRT010,LOT113,LENS0282,CAV07,8/1/25 11:55,18,121.55,121.03,118,115.26,42.78,43.41,Rework,OP109,MC05,Scratch,Rework needed
CURE00048,PRT001,LOT115,LENS0087,CAV10,8/1/25 12:00,11,123.82,122.86,118,115.17,39.84,45.66,Success,OP104,MC03,None,Stable cycle
