GasMix_ID,Protocol_ID,Lot_ID,DateTime,Gas_Type,FlowRate_sccm,Pressure_psi,Mix_Ratio_percent,Temperature_C,Valve_Status,Status,Operator_ID,Machine_ID,Remarks
GAS00001,PRT004,LOT111,8/1/25 8:05,CO2,217.37,36.61,53.27,24.57,Open,Success,OP110,GMC01,Stable flow
GAS00002,PRT009,LOT107,8/1/25 8:10,O2,167.14,30.76,36.21,26.62,Closed,Fail,OP109,GMC01,Check system
GAS00003,PRT008,LOT107,8/1/25 8:15,CO2,62.53,31.58,6.52,26.83,Open,Fail,OP102,GMC01,Check system
GAS00004,PRT002,LOT113,8/1/25 8:20,N2,142.4,31,73.74,26.44,Open,Fail,OP103,GMC02,Check system
GAS00005,PRT003,LOT102,8/1/25 8:25,CO2,119.71,31.49,54.31,28.56,Closed,Fail,OP103,GMC03,Check system
GAS00006,PRT002,LOT110,8/1/25 8:30,CO2,219.15,34.8,12.89,29.1,Closed,Success,OP103,GMC04,Stable flow
GAS00007,PRT004,LOT114,8/1/25 8:35,N2,172.83,39.36,52.46,27.68,Closed,Fail,OP106,GMC05,Check system
GAS00008,PRT009,LOT110,8/1/25 8:40,CO2,167.61,32.65,74.98,20.08,Open,Success,OP109,GMC05,Stable flow
GAS00009,PRT003,LOT114,8/1/25 8:45,O2,287.95,39.59,28.46,20.31,Closed,Fail,OP104,GMC03,Check system
GAS00010,PRT003,LOT120,8/1/25 8:50,N2,86.74,32.53,56.88,23.88,Closed,Success,OP108,GMC01,Stable flow
GAS00011,PRT005,LOT104,8/1/25 8:55,N2,102.09,39.37,47.61,20.92,Closed,Fail,OP103,GMC01,Check system
GAS00012,PRT004,LOT114,8/1/25 9:00,N2,161.84,31.03,44.96,29.96,Closed,Fail,OP102,GMC05,Check system
GAS00013,PRT004,LOT101,8/1/25 9:05,N2,173.92,37.58,76.75,20.09,Closed,Fail,OP104,GMC01,Check system
GAS00014,PRT009,LOT118,8/1/25 9:10,N2,82.46,39.98,44.6,26.95,Closed,Fail,OP110,GMC01,Check system
GAS00015,PRT006,LOT105,8/1/25 9:15,O2,150.77,30.07,78.7,29.42,Closed,Success,OP107,GMC01,Stable flow
GAS00016,PRT005,LOT116,8/1/25 9:20,Ar,80.53,35.17,16.99,26.25,Open,Success,OP101,GMC01,Stable flow
GAS00017,PRT010,LOT105,8/1/25 9:25,Ar,93.36,30.34,40.26,25.7,Closed,Success,OP103,GMC04,Stable flow
GAS00018,PRT010,LOT107,8/1/25 9:30,Ar,252.42,31.44,58.48,26.18,Open,Success,OP104,GMC05,Stable flow
GAS00019,PRT006,LOT100,8/1/25 9:35,CO2,64.13,32.95,35,26.27,Closed,Success,OP101,GMC02,Stable flow
GAS00020,PRT005,LOT108,8/1/25 9:40,Ar,291.76,36.44,67.81,23.09,Closed,Success,OP107,GMC01,Stable flow
GAS00021,PRT005,LOT115,8/1/25 9:45,O2,59.84,39.27,24.87,21.52,Open,Fail,OP106,GMC02,Check system
GAS00022,PRT001,LOT106,8/1/25 9:50,O2,285.55,34.63,48.1,25.37,Open,Success,OP101,GMC01,Stable flow
GAS00023,PRT002,LOT102,8/1/25 9:55,CO2,131.78,35.52,19.8,29.39,Closed,Fail,OP104,GMC02,Check system
GAS00024,PRT001,LOT108,8/1/25 10:00,CO2,254.3,31.9,24.36,24.47,Open,Fail,OP105,GMC02,Check system
GAS00025,PRT001,LOT118,8/1/25 10:05,CO2,285.48,38.3,24.3,28.4,Open,Success,OP102,GMC03,Stable flow
GAS00026,PRT002,LOT116,8/1/25 10:10,N2,215.97,37.91,19.88,22.22,Open,Fail,OP103,GMC05,Check system
GAS00027,PRT010,LOT113,8/1/25 10:15,O2,263.88,39.05,28.32,24.74,Closed,Fail,OP103,GMC01,Check system
GAS00028,PRT006,LOT101,8/1/25 10:20,CO2,142.2,31.5,44.9,29.89,Open,Success,OP109,GMC02,Stable flow
GAS00029,PRT004,LOT104,8/1/25 10:25,CO2,93.27,33.9,63.37,22.26,Closed,Fail,OP108,GMC03,Check system
